serviceCharge,picturecount,pricetrend,livingSpace,baseRentRange,noRooms,noRoomsRange,livingSpaceRange,totalRent
120.0,7,1.16,47.8,1,2,2,2,335.1
175.0,13,4.5,80.0,5,2,2,3,825.0
59.0,6,4.44,30.74,2,1,1,1,396.48
175.0,16,3.8,80.0,5,2,2,3,875.0
130.0,6,0.79,58.0,1,3,3,2,410.0
100.0,6,4.92,56.88,3,3,3,2,580.0
213.0,7,3.17,82.0,4,3,3,4,795.0
100.0,23,4.11,43.0,3,1,1,2,570.0
165.0,8,3.8,90.0,5,3,3,4,940.0
250.0,27,2.1,115.0,6,4,4,5,1230.0
120.0,2,1.96,68.57,2,4,4,3,485.0
105.94,13,1.65,66.31,2,3,3,3,513.13
100.0,21,1.19,50.0,1,2,2,2,345.0
152.0,14,5.43,54.5,7,2,2,2,1187.0
100.0,11,1.92,50.0,1,2,2,2,350.0
300.0,18,4.0,85.0,7,2,2,4,1390.0
69.0,8,7.25,52.75,5,2,2,2,772.0
100.5,6,1.72,67.0,3,3,3,3,548.5
100.0,8,1.72,52.0,1,2,2,2,360.0
40.0,6,3.77,58.4,2,3,3,2,445.0
335.0,19,4.81,125.5,7,4,4,6,1690.0
190.0,10,3.3,97.0,5,3,3,4,860.0
130.0,1,1.75,29.0,1,1,1,1,300.0
82.0,6,3.05,43.51,2,2,2,2,445.06
69.65,10,2.17,57.09,1,3,3,2,435.59
300.0,6,4.69,120.0,7,4,4,5,1800.0
131.0,15,1.73,65.51,5,2,2,3,786.0
176.0,14,6.92,88.39,7,3,3,4,1483.0
160.0,4,-5.17,80.0,3,3,3,3,660.0
120.0,1,0.78,63.0,3,2,2,3,525.0
120.0,7,4.48,74.4,3,3,3,3,694.0
180.0,8,6.25,38.9,3,2,2,1,630.0
120.0,11,4.11,78.88,5,2,2,3,840.0
80.0,22,4.69,55.0,2,2,2,2,520.0
350.0,6,4.91,145.0,8,3,3,6,2330.0
120.0,8,4.13,58.5,4,2,2,2,670.0
160.0,3,4.66,41.75,1,1,1,2,398.18
80.3,9,0.93,66.36,2,4,4,3,541.75
750.0,8,4.17,178.0,7,5,5,7,2040.0
110.0,5,2.35,58.0,1,3,3,2,402.0
360.0,17,5.68,105.0,7,3,3,5,1750.0
150.0,11,3.21,85.0,3,3,3,4,765.0
120.88,9,1.79,61.86,3,3,3,3,534.41
158.0,9,4.55,77.0,3,3,3,3,732.45
90.0,25,2.16,60.0,2,2,2,2,490.0
185.0,8,2.27,65.0,5,2,2,3,850.0
130.0,6,3.23,81.0,3,4,4,4,715.0
